area,polygon
Manhattan,"[(-74.00838978,40.76761981),(-74.02109272,40.69763752),(-73.97508747,40.710650956),(-73.96375782,40.74967598)]"
Lincoln_Tunnel,"[(-74.02522796,40.77403112),(-73.99450058,40.76272025),(-73.99913544,40.750757354),(-74.02797454,40.76272025)]"
I95_Broadway,"[(-73.94708758,40.85780688),(-73.87492014,40.84080226),(-73.88017252,40.832536665),(-73.95060001,40.84609495)]"
I95_Fort_Lee,"[(-73.98698336,40.87054494),(-73.96269328,40.86626107),(-73.96535403,40.850551351),(-73.98011693,40.85470635)]"
Pulaski_Skyway,"[(-74.13080075,40.73783062),(-74.06522611,40.74459383),(-74.06471113,40.737050224),(-74.12908414,40.72612343)]"
I678_Queens,"[(-73.83431761,40.71542576),(-73.82006972,40.71913386),(-73.80994175,40.695645765),(-73.81740897,40.69792336)]"
US_1_9,"[(-74.19995174,40.71581083),(-74.13205963,40.71587588),(-74.15291649,40.699154478),(-74.19385772,40.69362312)]"
Brooklyn_Bridge,"[(-74.00653073,40.71133152),(-74.00176713,40.71351155),(-73.98558805,40.701311518),(-73.99172494,40.69848091)]"
Long_Island_Exp,"[(-73.95856296,40.76190067),(-73.95585931,40.75978779),(-73.96482867,40.750295259),(-73.96774685,40.75211584)]"
Newark_Airport,"[(-74.18461678,40.71422913),(-74.19714806,40.67882856),(-74.18135522,40.662814041),(-74.14341806,40.71162679)]"
JFK_Airport,"[(-73.80065763,40.67269900),(-73.81868208,40.64886893),(-73.77302015,40.626984657),(-73.75654066,40.65069230)]"
Port_Authority_Terminal,"[(-73.99199915,40.76125043),(-73.99534655,40.75695955),(-73.98865175,40.754001281),(-73.98539019,40.75851990)]"
Grand_Central_Terminal,"[(-73.97916746,40.75689453),(-73.98238611,40.75283094),(-73.97504759,40.749742439),(-73.97208643,40.75400128)]"
Whitehall_Ferry_Terminal,"[(-74.01887931,40.70693283),(-74.01915826,40.70504594),(-74.01480235,40.700458612),(-74.00836505,40.70242697)]"
