pickup_nta,pickup_day,pickup_hour,nta_trips,nta_mean_duration,nta_na
Allerton-Pelham Gardens,2,21,0,0.0,1
Allerton-Pelham Gardens,3,21,0,0.0,1
Allerton-Pelham Gardens,5,1,0,0.0,1
Allerton-Pelham Gardens,6,6,0,0.0,1
Astoria,0,0,19,696.9473684210526,0
Astoria,0,1,18,549.4444444444445,0
Astoria,0,2,16,719.0625,0
Astoria,0,3,8,725.25,0
Astoria,0,4,17,587.8235294117648,0
Astoria,0,5,10,919.7,0
Astoria,0,6,30,739.5,0
Astoria,0,7,28,789.3928571428571,0
Astoria,0,8,22,968.7272727272727,0
Astoria,0,9,8,749.375,0
Astoria,0,10,9,774.7777777777778,0
Astoria,0,11,10,666.5,0
Astoria,0,12,13,691.1538461538462,0
Astoria,0,13,6,573.3333333333334,0
Astoria,0,14,8,601.125,0
Astoria,0,15,6,807.1666666666666,0
Astoria,0,16,6,401.6666666666667,0
Astoria,0,17,6,439.0,0
Astoria,0,18,8,713.5,0
Astoria,0,19,8,631.5,0
Astoria,0,20,9,501.1111111111111,0
Astoria,0,21,17,630.2352941176471,0
Astoria,0,22,12,537.5,0
Astoria,0,23,19,668.8947368421053,0
Astoria,1,0,19,434.3157894736842,0
Astoria,1,1,15,525.7333333333333,0
Astoria,1,2,11,617.5454545454545,0
Astoria,1,3,5,515.2,0
Astoria,1,4,6,386.6666666666667,0
Astoria,1,5,15,608.8,0
Astoria,1,6,26,807.1538461538462,0
Astoria,1,7,30,1041.2333333333333,0
Astoria,1,8,16,753.125,0
Astoria,1,9,8,736.125,0
Astoria,1,10,11,876.2727272727273,0
Astoria,1,11,6,624.6666666666666,0
Astoria,1,12,5,916.4,0
Astoria,1,13,10,601.9,0
Astoria,1,14,10,830.5,0
Astoria,1,15,7,675.4285714285714,0
Astoria,1,16,0,0.0,1
Astoria,1,17,0,0.0,1
Astoria,1,18,0,0.0,1
Astoria,1,19,5,596.6,0
Astoria,1,20,6,668.8333333333334,0
Astoria,1,21,15,499.0,0
Astoria,1,22,10,446.8,0
Astoria,1,23,19,543.0,0
Astoria,2,0,13,641.5384615384615,0
Astoria,2,1,19,556.0526315789474,0
Astoria,2,2,11,570.6363636363636,0
Astoria,2,3,7,505.0,0
Astoria,2,4,9,549.7777777777778,0
Astoria,2,5,16,688.6875,0
Astoria,2,6,24,835.5416666666666,0
Astoria,2,7,21,1052.6666666666667,0
Astoria,2,8,11,889.4545454545455,0
Astoria,2,9,11,912.3636363636364,0
Astoria,2,10,8,665.0,0
Astoria,2,11,14,781.7142857142857,0
Astoria,2,12,10,542.0,0
Astoria,2,13,8,464.375,0
Astoria,2,14,0,0.0,1
Astoria,2,15,0,0.0,1
Astoria,2,16,8,1106.375,0
Astoria,2,17,12,710.5,0
Astoria,2,18,0,0.0,1
Astoria,2,19,11,512.3636363636364,0
Astoria,2,20,8,636.125,0
Astoria,2,21,10,853.2,0
Astoria,2,22,15,652.3333333333334,0
Astoria,2,23,15,584.2,0
Astoria,3,0,24,459.8333333333333,0
Astoria,3,1,23,464.5652173913044,0
Astoria,3,2,12,389.3333333333333,0
Astoria,3,3,7,448.7142857142857,0
Astoria,3,4,13,671.3076923076923,0
Astoria,3,5,12,506.3333333333333,0
Astoria,3,6,26,881.6923076923077,0
Astoria,3,7,33,1039.3939393939395,0
Astoria,3,8,27,1083.888888888889,0
Astoria,3,9,17,1290.8235294117646,0
Astoria,3,10,12,1229.25,0
Astoria,3,11,10,385.9,0
Astoria,3,12,8,601.875,0
Astoria,3,13,0,0.0,1
Astoria,3,14,9,1039.5555555555557,0
Astoria,3,15,7,1023.7142857142857,0
Astoria,3,16,6,623.1666666666666,0
Astoria,3,17,5,708.2,0
Astoria,3,18,7,421.42857142857144,0
Astoria,3,19,5,591.6,0
Astoria,3,20,12,662.5,0
Astoria,3,21,8,390.125,0
Astoria,3,22,15,659.2,0
Astoria,3,23,15,476.3333333333333,0
Astoria,4,0,31,445.3225806451613,0
Astoria,4,1,29,564.0689655172414,0
Astoria,4,2,34,540.7647058823529,0
Astoria,4,3,22,464.1818181818182,0
Astoria,4,4,18,654.7222222222222,0
Astoria,4,5,14,591.3571428571429,0
Astoria,4,6,31,814.6129032258065,0
Astoria,4,7,31,926.1935483870968,0
Astoria,4,8,23,711.9130434782609,0
Astoria,4,9,19,673.421052631579,0
Astoria,4,10,11,765.0,0
Astoria,4,11,8,620.625,0
Astoria,4,12,10,798.8,0
Astoria,4,13,10,991.2,0
Astoria,4,14,13,717.6153846153846,0
Astoria,4,15,11,908.5454545454545,0
Astoria,4,16,7,715.2857142857143,0
Astoria,4,17,6,690.3333333333334,0
Astoria,4,18,7,410.7142857142857,0
Astoria,4,19,6,587.8333333333334,0
Astoria,4,20,16,635.0,0
Astoria,4,21,12,785.5,0
Astoria,4,22,18,823.1666666666666,0
Astoria,4,23,21,709.4761904761905,0
Astoria,5,0,43,573.6279069767442,0
Astoria,5,1,43,548.1162790697674,0
Astoria,5,2,40,559.2,0
Astoria,5,3,26,856.0,0
Astoria,5,4,33,746.1515151515151,0
Astoria,5,5,18,552.1111111111111,0
Astoria,5,6,29,637.7586206896551,0
Astoria,5,7,24,680.375,0
Astoria,5,8,29,676.2068965517242,0
Astoria,5,9,23,733.9565217391304,0
Astoria,5,10,15,848.7333333333333,0
Astoria,5,11,17,852.8235294117648,0
Astoria,5,12,23,544.7391304347826,0
Astoria,5,13,16,682.5625,0
Astoria,5,14,10,936.2,0
Astoria,5,15,8,835.125,0
Astoria,5,16,13,702.3846153846154,0
Astoria,5,17,17,687.8235294117648,0
Astoria,5,18,8,774.75,0
Astoria,5,19,18,873.3888888888889,0
Astoria,5,20,17,639.1176470588235,0
Astoria,5,21,15,879.0,0
Astoria,5,22,20,822.45,0
Astoria,5,23,21,839.7142857142857,0
Astoria,6,0,50,668.44,0
Astoria,6,1,45,583.8,0
Astoria,6,2,42,611.5238095238095,0
Astoria,6,3,38,711.0263157894736,0
Astoria,6,4,56,568.7857142857143,0
Astoria,6,5,21,493.8095238095238,0
Astoria,6,6,20,536.95,0
Astoria,6,7,13,674.5384615384615,0
Astoria,6,8,20,686.15,0
Astoria,6,9,24,736.5,0
Astoria,6,10,34,634.1764705882352,0
Astoria,6,11,21,630.5714285714286,0
Astoria,6,12,21,492.57142857142856,0
Astoria,6,13,17,684.6470588235294,0
Astoria,6,14,10,730.0,0
Astoria,6,15,13,791.3846153846154,0
Astoria,6,16,12,776.25,0
Astoria,6,17,19,862.0526315789474,0
Astoria,6,18,0,0.0,1
Astoria,6,19,11,751.0,0
Astoria,6,20,16,425.6875,0
Astoria,6,21,11,781.4545454545455,0
Astoria,6,22,19,628.2631578947369,0
Astoria,6,23,15,947.8,0
Auburndale,5,0,0,0.0,1
Baisley Park,0,0,0,0.0,1
Baisley Park,0,1,0,0.0,1
Baisley Park,0,6,6,2870.1666666666665,0
Baisley Park,0,7,0,0.0,1
Baisley Park,0,11,0,0.0,1
