pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,dist_mile,pickup_hour,pickup_day,pickup_borough,dropoff_borough,trip_duration,hour_group,speed
-73.93019104003906,40.8111572265625,-73.93019104003906,40.8111572265625,single,0.0,14,Sat,Bronx,Bronx,18,12~18,0.0
-73.89308166503906,40.81809997558594,-73.9174575805664,40.834339141845696,single,1.699458553863708,13,Tue,Bronx,Bronx,1124,12~18,5.443105688531449
-73.89027404785155,40.83137893676758,-73.7815933227539,40.6467170715332,single,13.960613709074549,17,Fri,Bronx,Bronx,3425,12~18,14.673929738005365
-73.82275390625,40.82707595825195,-73.86580657958984,40.854656219482415,single,2.951647509929812,4,Sun,Bronx,Bronx,546,0~6,19.461412153383378
-73.9264373779297,40.82022857666016,-73.88594818115233,40.87451934814453,two_or_more,4.305324776938833,14,Tue,Bronx,Bronx,1250,12~18,12.399335357583839
-73.79106903076173,40.854888916015625,-73.88701629638672,40.867164611816406,two_or_more,5.097439421207142,22,Tue,Bronx,Bronx,1046,18~24,17.543768562471996
-73.9261474609375,40.80630111694336,-73.9261474609375,40.80630111694336,single,0.0,7,Tue,Bronx,Bronx,345,6~12,0.0
-73.90925598144531,40.81331253051758,-73.91036987304686,40.84689712524414,single,2.318195223787693,20,Fri,Bronx,Bronx,995,18~24,8.387440005664015
-73.9246826171875,40.823101043701165,-73.9246826171875,40.823101043701165,single,0.0,11,Wed,Bronx,Bronx,226,6~12,0.0
-73.92948913574217,40.807910919189446,-73.95339965820312,40.779388427734375,two_or_more,2.333642529169539,0,Sat,Bronx,Bronx,806,18~24,10.423217251873872
-73.92781066894531,40.829986572265625,-73.91408538818358,40.82373428344727,single,0.8388674765851695,10,Sun,Bronx,Bronx,266,6~12,11.353093668069961
-73.90640258789062,40.81745147705078,-73.92259216308595,40.80902099609375,single,1.0289849015632808,9,Sun,Bronx,Bronx,355,6~12,10.434776466557214
-73.91622161865233,40.83628845214844,-73.91622161865233,40.83628845214844,single,0.0,10,Sun,Bronx,Bronx,1178,6~12,0.0
-73.89242553710938,40.85104751586913,-73.89242553710938,40.85104751586913,single,0.0,18,Sat,Bronx,Bronx,463,12~18,0.0
-73.89253234863281,40.88264846801758,-73.89258575439453,40.88264846801758,single,0.0027969555742193,1,Fri,Bronx,Bronx,31,0~6,0.32480774410288643
-73.90347290039062,40.84392547607422,-73.90348052978516,40.84392929077149,single,0.0004786728307444,21,Mon,Bronx,Bronx,242,18~24,0.0071207528540489255
-73.91554260253906,40.8369598388672,-73.91554260253906,40.8369598388672,single,0.0,10,Sun,Bronx,Bronx,1075,6~12,0.0
-73.9304428100586,40.81211853027344,-73.94476318359375,40.81576919555664,single,0.7918942471193935,4,Fri,Bronx,Bronx,287,0~6,9.933168256549884
-73.90413665771484,40.862701416015625,-73.89300537109375,40.831321716308594,single,2.242504407250148,21,Tue,Bronx,Bronx,741,18~24,10.894758253846872
-73.91997528076173,40.83080673217773,-73.87261962890625,40.7744598388672,two_or_more,4.613373100858551,15,Tue,Bronx,Bronx,1624,12~18,10.226689139834226
-73.9231185913086,40.82614135742188,-73.91825866699217,40.81631851196289,single,0.7241061809661559,18,Thu,Bronx,Bronx,408,12~18,6.389172184995493
