longitude,latitude,passenger_count,dist_mile,pickup_hour,pickup_day,trip_duration,type
-73.93678284,40.75986862,2,3.902237466,0,Mon,1080,Pickup
-73.98547363,40.75470352,2,1.015364147,0,Sat,415,Pickup
-73.99224854,40.72142029,1,3.003531859,0,Sun,796,Pickup
-73.97669983,40.75382996,1,0.820161049,0,Tue,221,Pickup
-73.93804169,40.79259109,2,0.499110835,0,Sat,151,Pickup
-73.98610687,40.74454117,5,0.603035634,0,Sun,271,Pickup
-73.97484589,40.7329216,1,1.396227441,0,Sun,1052,Pickup
-74.00017548,40.72715759,2,1.419713484,0,Fri,570,Pickup
-74.00479126,40.75191879,3,5.281179767,0,Thu,851,Pickup
-74.00094604,40.7423439,1,0.939484255,0,Sun,547,Pickup
-73.99469757,40.71485901,2,1.539426492,0,Thu,697,Pickup
-74.00842285,40.73452759,1,0.478003141,0,Fri,260,Pickup
-73.92923737,40.75844955,1,0.684559595,0,Sun,239,Pickup
-73.97631073,40.74430466,1,3.761756757,0,Sun,1479,Pickup
-73.99698639,40.72520065,1,0.653543576,0,Sat,140,Pickup
-73.98531342,40.76821899,1,5.357154976,0,Tue,2364,Pickup
-73.98207092,40.74894333,2,2.176194489,0,Sat,742,Pickup
-73.98381042,40.72560501,3,1.989326745,0,Sun,546,Pickup
-73.95359802,40.78226089,1,0.702487972,0,Sun,316,Pickup
-73.99443054,40.75030899,1,6.831104037,0,Sun,1924,Pickup
-74.00119019,40.73103333,4,0.917224007,0,Sun,680,Pickup
-73.96931458,40.7659874,1,0.353900677,0,Tue,184,Pickup
-74.00534058,40.74026489,6,1.643186435,0,Sun,988,Pickup
-73.98331451,40.72652435,1,2.277332557,0,Sat,1364,Pickup
-73.97344208,40.76368332,1,0.500949404,0,Sun,244,Pickup
-73.9504776,40.77955246,1,1.205924103,0,Thu,332,Pickup
-73.98791504,40.74952316,1,2.065102547,0,Sat,894,Pickup
-73.97055817,40.76741028,3,1.310080292,0,Sun,276,Pickup
-73.97663879,40.75398636,1,2.573767454,0,Thu,677,Pickup
-73.98635101,40.76699066,2,2.077337237,0,Sun,1202,Pickup
